"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	13663	20746335	65.9
	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	13808	20970529	65.8
	"Female"	"F"	"25-34 years"	"25-34"	"2013"	"2013"	14001	21203096	66.0
	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	14480	21546290	67.2
	"Female"	"F"	"25-34 years"	"25-34"	"2015"	"2015"	15736	21838064	72.1
	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	17359	22077505	78.6
	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	18066	22351311	80.8
	"Female"	"F"	"25-34 years"	"25-34"	"2018"	"2018"	17980	22487065	80.0
	"Female"	"F"	"25-34 years"	"25-34"	"2019"	"2019"	17827	22581141	78.9
	"Female"	"F"	"25-34 years"	"25-34"	"2020 "	"2020"	21654	22625267	95.7
	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	26678	20404484	130.7
	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	26233	20342813	129.0
	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	26501	20307429	130.5
	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	27303	20353904	134.1
	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	27418	20386206	134.5
	"Female"	"F"	"35-44 years"	"35-44"	"2016"	"2016"	28577	20317393	140.7
	"Female"	"F"	"35-44 years"	"35-44"	"2017"	"2017"	29004	20506270	141.4
	"Female"	"F"	"35-44 years"	"35-44"	"2018"	"2018"	29004	20690288	140.2
	"Female"	"F"	"35-44 years"	"35-44"	"2019"	"2019"	29550	20867064	141.6
	"Female"	"F"	"35-44 years"	"35-44"	"2020 "	"2020"	35996	21090324	170.7
	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	71538	22698956	315.2
	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	70249	22461868	312.7
	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	69727	22198448	314.1
	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	69540	22033807	315.6
	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	68947	21889385	315.0
	"Female"	"F"	"45-54 years"	"45-54"	"2016"	"2016"	68430	21680540	315.6
	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	66338	21468595	309.0
	"Female"	"F"	"45-54 years"	"45-54"	"2018"	"2018"	63807	21090497	302.5
	"Female"	"F"	"45-54 years"	"45-54"	"2019"	"2019"	61546	20702936	297.3
	"Female"	"F"	"45-54 years"	"45-54"	"2020 "	"2020"	71298	20441441	348.8
	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	126674	19703935	642.9
	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	128655	19983308	643.8
	"Female"	"F"	"55-64 years"	"55-64"	"2013"	"2013"	131802	20359676	647.4
	"Female"	"F"	"55-64 years"	"55-64"	"2014"	"2014"	136610	20755699	658.2
	"Female"	"F"	"55-64 years"	"55-64"	"2015"	"2015"	140159	21163072	662.3
